street
Привокзальный тупик
Приколейная ул.
Приладный пер.
Прилужная ул.
Примакова ул.
Приозерная ул.
Припятская ул.
Приречная ул.
Притиско-Никольская ул.
Причальная ул.
Пришвина ул.
Проводницкая ул.
Пролетарская ул.
Пролетарский пер.
Промыcловая ул.-Бортничи
Промысловая ул.
Промысловый пер.-Бортничи
Прорезная ул.
Прорезная ул.
Протасов Яр ул.
Профинтерна пер.
Профинтерна ул.
Профсоюзная ул.
Профсоюзный пер.
Псковская ул.
Псковский пер.
Пугачева ул.
Пулюя Ивана ул.
Путивльская ул.
Путивльский пер.
Пухова Генерала ул.
Пуховская ул.
Пушиной Феодоры ул.
Пушкина ул.-Троещина
Пушкинская ул.
Пуща-Водицкая ул.
Пуща-Водицкий пер.
Пшеничная ул.
Пятигорская ул.
Пятигорский пер.
Рабочая ул.
Рабочая ул.-Жуляны
Рабочий пер.
Радиальная ул.
Радистов ул.
Радомышльская ул.
Радостная ул.
Радужная ул.
Радунская ул.
Радченко Петра ул.
Радянская ул.-Жуляны
Радянский пер.
Раевского Николая ул.
Раздельная ул.
Райгородская ул.
Райгородский пер.
Райниса Яна ул.
Ракетная ул.
Расковой Марины ул.
Рахманинова ул.
Революции ул.
Ревуцкого ул.
Регенераторная ул.
Редутная ул.
Редутный пер.
Резервная ул.
Рейтарская ул.
Ремесленный пер.
Ремонтная ул.
Реута Михаила ул.
Речная ул.
Ржевский пер.
Ржищевская ул.
Рижская ул.
Ризницкая ул.
Римского-Корсакова пер.
Рогнединская ул.
Рогозовская ул.
Родимцева Генерала ул.
Родниковая ул -
Родниковая ул.
Родниковый пер.
Рожевая ул.
Рожевой пер.
Розважевский пер.
Рокитненская ул.
Рокоссовского проспект
Ромоданская ул.
Росошанская ул.
Российская ул.
Ростовская ул.
Рощинский пер.
Рубежовская ул.
Рубежовский пер.
Руданского ул.
Руденко Ларисы ул.
Руднева Николая пер.
Руднева Николая ул.
Ружинский пер.
Русановский бульвар
Руставели Шота ул.
Рыбака ул.-Троещина
Рыбалко Маршала ул.
Рыбальская ул.
Рыбная ул.
Рыбный пер.
Рыболовецкая ул.
Рыбхоз Нивки
Рыкова Комиссара ул.
Рылеева пер.
Рылеева ул.
Рыльский пер.
Рыльского Максима ул.
Рясный пер.
Сабурова ул.
